,Taste Preferences,Do you have diabetes?,BMI,Recommended Package,FoodType.Egg,FoodType.NonVegetarian,FoodType.Seafood,FoodType.Vegan,FoodType.Vegetarian,Allergies.Corn,Allergies.Eggs,Allergies.Fish,Allergies.Gelatin,Allergies.Groundnut,Allergies.Peanuts,Allergies.Soy,Allergies.Wheat,Allergies.Milk,Allergies.None,Allergies.Prawns,Likes.Chinese,Likes.Lebanese,Likes.Maharashtrian,Likes.Punjabi,Likes.Western,Likes.None,Likes.Thai
64,Medium-Spicy,No,23.9994591671174,Maharashtrian-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65,Medium-Spicy,No,19.5918367346939,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
66,Medium-Spicy,No,24.3232286833926,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
67,Medium-Spicy,No,23.111111111111104,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,None,No,27.2763340607022,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
69,Medium-Spicy,No,24.6097337006428,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70,Spicy,No,18.6666666666667,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
71,Medium-Spicy,No,21.5450907971684,Chinese-Normal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Spicy,No,14.239943040227802,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
73,Medium-Spicy,No,18.359375,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
74,Medium-Spicy,No,17.993079584775103,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,Medium-Spicy,No,22.4913494809689,Punjabi-Normal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
76,None,No,27.7777777777778,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
77,Medium-Spicy,No,25.0,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,Medium-Spicy,No,25.631167499679602,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,Medium-Spicy,No,29.387755102040803,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
80,Medium-Spicy,No,26.234567901234602,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
81,Medium-Spicy,No,17.9012345679012,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,Medium-Spicy,No,21.6128117913832,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,Medium-Spicy,No,16.003657978966597,BMI-High,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
84,Spicy,No,17.7999288002848,BMI-High,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
85,Spicy,No,27.5802003193497,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
86,Medium-Spicy,No,24.772096710265604,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
87,Medium-Spicy,No,31.8772882211842,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
88,None,No,27.681660899654002,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89,Medium-Spicy,No,23.458562375267,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
90,Medium-Spicy,No,28.3446712018141,BMI-Low,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
91,Medium-Spicy,No,20.286507911738102,Chinese-Normal,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,Spicy,No,16.796875,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
93,Medium-Spicy,No,27.0551508844953,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,Spicy,No,24.314123965742503,Maharashtrian-Nor,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,Medium-Spicy,No,24.755464315903897,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
96,Medium-Spicy,No,17.674536043428898,BMI-High,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Medium-Spicy,No,20.7612456747405,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
98,Medium-Spicy,No,18.8271604938272,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
99,Medium-Spicy,No,38.4,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
100,Medium-Spicy,No,20.9366391184573,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
101,Medium-Spicy,No,18.0802103879027,Chinese-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
102,Medium-Spicy,No,29.384756657483898,BMI-Low,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
103,Medium-Spicy,No,18.3057694735513,Punjabi-Normal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
104,Medium-Spicy,No,18.3654729109275,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
105,Medium-Spicy,No,22.4913494809689,Punjabi-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
106,Medium-Spicy,No,18.3391003460208,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
107,Medium-Spicy,No,23.3843537414966,Chinese-Normal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
108,Medium-Spicy,No,20.6758034026465,Chinese-Vegetarian,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
109,Medium-Spicy,No,24.4560634171024,Chinese-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
110,Medium-Spicy,No,22.3435155925819,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
111,Medium-Spicy,No,25.529644871208703,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
112,Medium-Spicy,No,16.796875,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
113,Medium-Spicy,No,24.5968233871952,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
114,Medium-Spicy,No,21.0961905148282,Maharashtrian-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
115,Medium-Spicy,No,23.7332384003797,Western-Veg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
116,None,No,22.136739730004397,Thai-Veg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
117,Spicy,No,23.3066800530675,Maharashtrian-Vegetarian,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
118,Medium-Spicy,No,23.111111111111104,Maharashtrian-Nor,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
119,None,No,30.385015608740897,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
120,Spicy,No,17.5696511169278,BMI-High,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
121,Medium-Spicy,No,19.0311418685121,Punjabi-Vegetarian,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
122,Medium-Spicy,No,21.928862769176803,Punjabi-Vegetarian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
123,Medium-Spicy,No,20.4491374182034,Punjabi-Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
124,Spicy,No,27.513384889946497,BMI-Low,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,Spicy,No,20.177148524332303,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
126,Medium-Spicy,No,19.53125,Punjabi-Vegetarian,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
127,Medium-Spicy,No,20.8307031940412,Chinese-Vegan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
128,Medium-Spicy,No,23.291229956105,Maharashtrian-Nor,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
129,Medium-Spicy,No,19.840664204389398,Punjabi-Normal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
130,Medium-Spicy,No,20.7612456747405,Thai-Nor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
131,Spicy,No,28.571428571428598,BMI-Low,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
132,Spicy,No,16.6493236212279,BMI-High,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
